Customer ID,Revenue
CUST0160,103736
CUST0099,102645
CUST0161,101478
CUST0147,100239
CUST0113,99223
CUST0033,95812
CUST0145,93164
CUST0090,90741
CUST0190,89397
CUST0092,76112
CUST0109,75139
CUST0015,73515
CUST0012,72833
CUST0164,72590
CUST0152,72337
CUST0075,71063
CUST0054,70665
CUST0151,70499
CUST0144,68430
CUST0047,67960
CUST0104,67132
CUST0028,66349
CUST0058,65405
CUST0051,65367
CUST0117,63733
CUST0140,63396
CUST0163,62352
CUST0192,61292
CUST0124,61282
CUST0130,60280
CUST0115,59630
CUST0188,58390
CUST0052,58162
CUST0146,57636
CUST0153,57310
CUST0048,56581
CUST0069,56277
CUST0129,56205
CUST0019,55737
CUST0194,54665
CUST0045,54162
CUST0036,53927
CUST0128,53761
CUST0056,53587
CUST0086,53411
CUST0096,53129
CUST0158,52967
CUST0133,52137
CUST0108,52093
CUST0170,52033
CUST0025,51520
CUST0013,51053
CUST0084,50763
CUST0039,50347
CUST0173,49919
CUST0035,49890
CUST0187,48541
CUST0189,48113
CUST0004,48110
CUST0002,47853
CUST0082,47027
CUST0001,46448
CUST0132,46353
CUST0021,45492
CUST0185,45478
CUST0191,45430
CUST0101,45283
CUST0003,45201
CUST0053,44433
CUST0008,43607
CUST0044,43172
CUST0111,42587
CUST0030,42585
CUST0037,42554
CUST0027,42477
CUST0183,42429
CUST0014,42386
CUST0017,42362
CUST0093,42359
CUST0142,41557
CUST0103,41492
CUST0060,41372
CUST0197,40714
CUST0062,40618
CUST0080,40351
CUST0029,39767
CUST0198,39542
CUST0131,39053
CUST0118,38864
CUST0181,38836
CUST0136,38643
CUST0168,38285
CUST0155,38091
CUST0038,38065
CUST0055,37385
CUST0046,37152
CUST0122,36964
CUST0034,36797
CUST0138,36411
CUST0107,36069
CUST0050,35790
CUST0059,35312
CUST0081,34703
CUST0120,34692
CUST0070,34571
CUST0095,34557
CUST0063,34538
CUST0112,34489
CUST0009,34104
CUST0179,33394
CUST0073,33292
CUST0134,33229
CUST0005,32584
CUST0172,32446
CUST0148,32311
CUST0065,31751
CUST0162,31741
CUST0166,31524
CUST0126,31503
CUST0106,31479
CUST0154,31244
CUST0098,30977
CUST0180,30730
CUST0175,29509
CUST0022,28923
CUST0049,28086
CUST0011,28034
CUST0067,27996
CUST0100,27940
CUST0061,27436
CUST0178,27242
CUST0135,26607
CUST0085,26369
CUST0114,26324
CUST0149,26050
CUST0088,25903
CUST0141,25742
CUST0068,25640
CUST0123,25174
CUST0137,24802
CUST0057,24739
CUST0018,24675
CUST0105,24205
CUST0182,23996
CUST0176,23868
CUST0171,23610
CUST0195,23604
CUST0007,22954
CUST0006,22715
CUST0186,22216
CUST0121,21781
CUST0119,21608
CUST0089,21121
CUST0026,20789
CUST0177,20578
CUST0074,20231
CUST0184,20143
CUST0094,19763
CUST0083,19483
CUST0157,18936
CUST0072,18603
CUST0032,18007
CUST0066,17745
CUST0150,16931
CUST0043,16596
CUST0024,16096
CUST0071,15833
CUST0016,14735
CUST0167,14638
CUST0023,14431
CUST0102,14061
CUST0040,13520
CUST0116,13079
CUST0079,12770
CUST0042,12580
CUST0199,12234
CUST0020,11877
CUST0139,11677
CUST0041,9649
CUST0143,9351
CUST0196,9276
CUST0193,9021
CUST0165,8808
CUST0159,8205
CUST0078,8174
CUST0091,8021
CUST0076,7747
CUST0156,7555
CUST0127,7534
CUST0010,7262
CUST0110,6980
CUST0174,6270
CUST0169,6101
CUST0097,5628
CUST0125,4056
CUST0087,3550
CUST0064,1750
